origin_cluster_id,locality,departure_time,destination_cluster_id,distance_meters,static_duration_seconds,traffic_duration_seconds,route_description,encoded_polyline,predicted_arrival_time,arrival_buffer_minutes,status
H1,Hoodi,2026-08-24T08:30:00+05:30,OFFICE,1952,391,387,ITPL Main Rd,o{gnAo~hyM}A_Do@eB{@}AQe@m@eA[]m@Y{@Sm@Aw@Ju@^c@d@Ud@Uj@}AxGe@dDOxCWfUI|EKxA}@~Eg@hCGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T08:36:27+05:30,103.55,success
H1,Hoodi,2026-08-24T08:45:00+05:30,OFFICE,1952,391,382,ITPL Main Rd,o{gnAo~hyM}A_Do@eB{@}AQe@m@eA[]m@Y{@Sm@Aw@Ju@^c@d@Ud@Uj@}AxGe@dDOxCWfUI|EKxA}@~Eg@hCGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T08:51:22+05:30,88.63333333333334,success
H1,Hoodi,2026-08-24T09:00:00+05:30,OFFICE,1952,391,388,ITPL Main Rd,o{gnAo~hyM}A_Do@eB{@}AQe@m@eA[]m@Y{@Sm@Aw@Ju@^c@d@Ud@Uj@}AxGe@dDOxCWfUI|EKxA}@~Eg@hCGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:06:28+05:30,73.53333333333333,success
H1,Hoodi,2026-08-24T09:15:00+05:30,OFFICE,1952,391,388,ITPL Main Rd,o{gnAo~hyM}A_Do@eB{@}AQe@m@eA[]m@Y{@Sm@Aw@Ju@^c@d@Ud@Uj@}AxGe@dDOxCWfUI|EKxA}@~Eg@hCGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:21:28+05:30,58.53333333333333,success
H1,Hoodi,2026-08-24T09:30:00+05:30,OFFICE,1952,391,389,ITPL Main Rd,o{gnAo~hyM}A_Do@eB{@}AQe@m@eA[]m@Y{@Sm@Aw@Ju@^c@d@Ud@Uj@}AxGe@dDOxCWfUI|EKxA}@~Eg@hCGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:36:29+05:30,43.516666666666666,success
H1,Hoodi,2026-08-24T09:45:00+05:30,OFFICE,1952,391,382,ITPL Main Rd,o{gnAo~hyM}A_Do@eB{@}AQe@m@eA[]m@Y{@Sm@Aw@Ju@^c@d@Ud@Uj@}AxGe@dDOxCWfUI|EKxA}@~Eg@hCGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:51:22+05:30,28.633333333333333,success
H1,Hoodi,2026-08-24T10:00:00+05:30,OFFICE,1952,391,390,ITPL Main Rd,o{gnAo~hyM}A_Do@eB{@}AQe@m@eA[]m@Y{@Sm@Aw@Ju@^c@d@Ud@Uj@}AxGe@dDOxCWfUI|EKxA}@~Eg@hCGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T10:06:30+05:30,13.5,success
H2,Hoodi,2026-08-24T08:30:00+05:30,OFFICE,2388,494,513,ITPL Main Rd,ychnAahjyMqA^u@GKHId@]BkCi@gAS?hDCfCFf@L^PTv@r@nBzBnB`Cl@v@GVQCo@Ou@Eo@Dk@LUJm@`@MRCJ@V[v@}AxGe@dDOxCWfUI|EKxA}@~Eg@hCGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T08:38:33+05:30,101.45,success
H2,Hoodi,2026-08-24T08:45:00+05:30,OFFICE,2388,494,530,ITPL Main Rd,ychnAahjyMqA^u@GKHId@]BkCi@gAS?hDCfCFf@L^PTv@r@nBzBnB`Cl@v@GVQCo@Ou@Eo@Dk@LUJm@`@MRCJ@V[v@}AxGe@dDOxCWfUI|EKxA}@~Eg@hCGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T08:53:50+05:30,86.16666666666667,success
H2,Hoodi,2026-08-24T09:00:00+05:30,OFFICE,2388,494,582,ITPL Main Rd,ychnAahjyMqA^u@GKHId@]BkCi@gAS?hDCfCFf@L^PTv@r@nBzBnB`Cl@v@GVQCo@Ou@Eo@Dk@LUJm@`@MRCJ@V[v@}AxGe@dDOxCWfUI|EKxA}@~Eg@hCGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:09:42+05:30,70.3,success
