departure_date,origin_cluster_id,locality,departure_time,destination_cluster_id,distance_meters,static_duration_seconds,traffic_duration_seconds,predicted_arrival_time,arrival_buffer_minutes,status
2026-08-24,H1,Hoodi,08:30,OFFICE,1952,391,387,2026-08-24T08:36:27+05:30,103.55,success
2026-08-24,H1,Hoodi,08:45,OFFICE,1952,391,382,2026-08-24T08:51:22+05:30,88.63333333333334,success
2026-08-24,H1,Hoodi,09:00,OFFICE,1952,391,388,2026-08-24T09:06:28+05:30,73.53333333333333,success
2026-08-24,H1,Hoodi,09:15,OFFICE,1952,391,388,2026-08-24T09:21:28+05:30,58.53333333333333,success
2026-08-24,H1,Hoodi,09:30,OFFICE,1952,391,389,2026-08-24T09:36:29+05:30,43.516666666666666,success
2026-08-24,H1,Hoodi,09:45,OFFICE,1952,391,382,2026-08-24T09:51:22+05:30,28.633333333333333,success
2026-08-24,H1,Hoodi,10:00,OFFICE,1952,391,390,2026-08-24T10:06:30+05:30,13.5,success
2026-08-24,H2,Hoodi,08:30,OFFICE,2388,494,513,2026-08-24T08:38:33+05:30,101.45,success
2026-08-24,H2,Hoodi,08:45,OFFICE,2388,494,530,2026-08-24T08:53:50+05:30,86.16666666666667,success
2026-08-24,H2,Hoodi,09:00,OFFICE,2388,494,582,2026-08-24T09:09:42+05:30,70.3,success
2026-08-24,H2,Hoodi,09:15,OFFICE,2388,494,590,2026-08-24T09:24:50+05:30,55.166666666666664,success
2026-08-24,H2,Hoodi,09:30,OFFICE,2388,494,550,2026-08-24T09:39:10+05:30,40.833333333333336,success
2026-08-24,H2,Hoodi,09:45,OFFICE,2388,494,523,2026-08-24T09:53:43+05:30,26.283333333333335,success
2026-08-24,H2,Hoodi,10:00,OFFICE,2388,494,535,2026-08-24T10:08:55+05:30,11.083333333333334,success
2026-08-24,H3,Hoodi,08:30,OFFICE,1921,395,406,2026-08-24T08:36:46+05:30,103.23333333333333,success
2026-08-24,H3,Hoodi,08:45,OFFICE,1921,395,402,2026-08-24T08:51:42+05:30,88.3,success
2026-08-24,H3,Hoodi,09:00,OFFICE,1921,395,416,2026-08-24T09:06:56+05:30,73.06666666666666,success
2026-08-24,H3,Hoodi,09:15,OFFICE,1921,395,440,2026-08-24T09:22:20+05:30,57.666666666666664,success
2026-08-24,H3,Hoodi,09:30,OFFICE,1921,395,454,2026-08-24T09:37:34+05:30,42.43333333333333,success
2026-08-24,H3,Hoodi,09:45,OFFICE,1920,395,455,2026-08-24T09:52:35+05:30,27.416666666666668,success
2026-08-24,H3,Hoodi,10:00,OFFICE,1921,395,463,2026-08-24T10:07:43+05:30,12.283333333333333,success
