locality,departure_time,median_traffic_duration_minutes,p90_traffic_duration_minutes,on_time_rate,reliability_score,median_score,p90_score,efficiency_score,latest_fully_reliable_departure,flexibility_score,commute_score
B. Narayanapura,08:30,9.633333333333333,13.536666666666667,1.0,100.0,100,100,100.0,10:00,100,100.0
B. Narayanapura,08:45,9.683333333333334,13.84,1.0,100.0,100,100,100.0,10:00,100,100.0
B. Narayanapura,09:00,9.85,13.943333333333333,1.0,100.0,100,100,100.0,10:00,100,100.0
B. Narayanapura,09:15,10.15,14.21,1.0,100.0,100,100,100.0,10:00,100,100.0
B. Narayanapura,09:30,10.233333333333333,14.353333333333333,1.0,100.0,100,100,100.0,10:00,100,100.0
B. Narayanapura,09:45,10.4,14.46,1.0,100.0,100,100,100.0,10:00,100,100.0
B. Narayanapura,10:00,10.7,14.683333333333334,1.0,100.0,100,100,100.0,10:00,100,100.0
Doddanekkundi,08:30,16.633333333333333,18.293333333333333,1.0,100.0,89.11111111111111,100,92.37777777777777,09:45,83.33,93.54583333333332
Doddanekkundi,08:45,17.033333333333335,19.17,1.0,100.0,86.44444444444443,100,90.51111111111109,09:45,83.33,92.98583333333332
Doddanekkundi,09:00,17.433333333333334,19.413333333333334,1.0,100.0,83.77777777777777,100,88.64444444444445,09:45,83.33,92.42583333333333
Doddanekkundi,09:15,18.25,19.603333333333335,1.0,100.0,78.33333333333333,100,84.83333333333333,09:45,83.33,91.2825
Doddanekkundi,09:30,18.75,19.913333333333334,1.0,100.0,75.0,100,82.5,09:45,83.33,90.5825
Doddanekkundi,09:45,18.75,20.553333333333335,1.0,100.0,75.0,97.23333333333332,81.66999999999999,09:45,83.33,90.33349999999999
Doddanekkundi,10:00,18.6,20.653333333333332,0.6666666666666666,66.66666666666666,75.99999999999999,96.73333333333333,82.21999999999998,09:45,83.33,75.49849999999999
Hoodi,08:30,6.633333333333334,8.536666666666667,1.0,100.0,100,100,100.0,10:00,100,100.0
Hoodi,08:45,6.7,8.703333333333335,1.0,100.0,100,100,100.0,10:00,100,100.0
Hoodi,09:00,6.916666666666667,9.063333333333333,1.0,100.0,100,100,100.0,10:00,100,100.0
Hoodi,09:15,7.15,8.979999999999999,1.0,100.0,100,100,100.0,10:00,100,100.0
Hoodi,09:30,7.366666666666666,8.543333333333333,1.0,100.0,100,100,100.0,10:00,100,100.0
Hoodi,09:45,7.366666666666666,8.6,1.0,100.0,100,100,100.0,10:00,100,100.0
Hoodi,10:00,7.45,8.796666666666665,1.0,100.0,100,100,100.0,10:00,100,100.0
KR Puram,08:30,20.833333333333332,23.28666666666667,1.0,100.0,61.11111111111112,83.56666666666666,67.84777777777778,09:45,83.33,86.18683333333333
KR Puram,08:45,21.966666666666665,24.77,1.0,100.0,53.555555555555564,76.15,60.33388888888889,09:45,83.33,83.93266666666666
KR Puram,09:00,21.866666666666667,24.470000000000002,1.0,100.0,54.22222222222222,77.64999999999999,61.25055555555555,09:45,83.33,84.20766666666667
KR Puram,09:15,21.716666666666665,24.376666666666665,1.0,100.0,55.222222222222236,78.11666666666667,62.09055555555557,09:45,83.33,84.45966666666666
KR Puram,09:30,21.583333333333332,24.433333333333334,1.0,100.0,56.111111111111114,77.83333333333333,62.62777777777778,09:45,83.33,84.62083333333334
KR Puram,09:45,21.7,24.36,1.0,100.0,55.33333333333334,78.2,62.193333333333335,09:45,83.33,84.4905
KR Puram,10:00,22.166666666666668,24.203333333333333,0.3333333333333333,33.33333333333333,52.222222222222214,78.98333333333333,60.25055555555555,09:45,83.33,53.90766666666666
Kaggadasapura,08:30,23.266666666666666,26.85,1.0,100.0,44.8888888888889,65.75,51.147222222222226,09:45,83.33,81.17666666666666
Kaggadasapura,08:45,23.483333333333334,26.779999999999998,1.0,100.0,43.44444444444444,66.10000000000002,50.24111111111111,09:45,83.33,80.90483333333333
Kaggadasapura,09:00,24.2,27.203333333333333,1.0,100.0,38.66666666666667,63.983333333333334,46.26166666666667,09:45,83.33,79.711
Kaggadasapura,09:15,24.216666666666665,27.14333333333333,1.0,100.0,38.555555555555564,64.28333333333335,46.2738888888889,09:45,83.33,79.71466666666667
Kaggadasapura,09:30,24.65,27.540000000000003,1.0,100.0,35.666666666666686,62.29999999999999,43.65666666666668,09:45,83.33,78.9295
Kaggadasapura,09:45,24.75,27.36,1.0,100.0,35.0,63.2,43.46,09:45,83.33,78.87049999999999
Kaggadasapura,10:00,24.8,27.533333333333335,0.0,0.0,34.66666666666666,62.33333333333332,42.966666666666654,09:45,83.33,33.7225
Vibhutipura,08:30,32.333333333333336,35.11333333333334,1.0,100.0,0,24.433333333333323,7.3299999999999965,09:30,66.67,63.8665
Vibhutipura,08:45,32.96666666666667,35.80333333333333,1.0,100.0,0,20.983333333333363,6.295000000000009,09:30,66.67,63.556
Vibhutipura,09:00,33.63333333333333,37.54333333333333,1.0,100.0,0,12.28333333333336,3.6850000000000076,09:30,66.67,62.772999999999996
Vibhutipura,09:15,34.083333333333336,38.62,1.0,100.0,0,6.90000000000002,2.070000000000006,09:30,66.67,62.2885
Vibhutipura,09:30,34.46666666666667,39.44666666666667,1.0,100.0,0,2.7666666666666373,0.8299999999999912,09:30,66.67,61.9165
Vibhutipura,09:45,34.55,40.583333333333336,0.6,60.0,0,0,0.0,09:30,66.67,43.667500000000004
Vibhutipura,10:00,34.233333333333334,39.9,0.0,0.0,0,0.5000000000000142,0.15000000000000427,09:30,66.67,16.712500000000002
