locality,departure_time,sample_size,mean_traffic_duration_seconds,median_traffic_duration_seconds,p90_traffic_duration_seconds,min_traffic_duration_seconds,max_traffic_duration_seconds,mean_arrival_buffer_minutes,median_arrival_buffer_minutes,worst_arrival_buffer_minutes,on_time_count,off_time_count,weekday_on_time_count,weekday_count
B. Narayanapura,08:30,15,624.4666666666667,578.0,812.2,470.0,817.0,99.59222222222223,100.36666666666666,96.38333333333334,15,0,5,5
B. Narayanapura,08:45,15,631.8,581.0,830.4,472.0,847.0,84.47000000000001,85.31666666666666,80.88333333333334,15,0,5,5
B. Narayanapura,09:00,15,650.4666666666667,591.0,836.6,479.0,879.0,69.15888888888888,70.15,65.35,15,0,5,5
B. Narayanapura,09:15,15,659.8,609.0,852.6,478.0,885.0,54.00333333333334,54.85,50.25,15,0,5,5
B. Narayanapura,09:30,15,661.4666666666667,614.0,861.2,478.0,890.0,38.97555555555555,39.766666666666666,35.166666666666664,15,0,5,5
B. Narayanapura,09:45,15,668.4666666666667,624.0,867.6,478.0,911.0,23.858888888888888,24.6,19.816666666666666,15,0,5,5
B. Narayanapura,10:00,15,683.8,642.0,881.0,490.0,936.0,8.603333333333332,9.3,4.4,15,0,5,5
Doddanekkundi,08:30,15,975.1333333333333,998.0,1097.6,695.0,1149.0,93.74777777777778,93.36666666666666,90.85,15,0,5,5
Doddanekkundi,08:45,15,1003.2,1022.0,1150.2,692.0,1189.0,78.28,77.96666666666667,75.18333333333334,15,0,5,5
Doddanekkundi,09:00,15,1021.9333333333333,1046.0,1164.8,702.0,1232.0,62.967777777777776,62.56666666666667,59.46666666666667,15,0,5,5
Doddanekkundi,09:15,15,1047.6666666666667,1095.0,1176.2,703.0,1250.0,47.538888888888884,46.75,44.166666666666664,15,0,5,5
Doddanekkundi,09:30,15,1058.8,1125.0,1194.8,705.0,1266.0,32.35333333333333,31.25,28.9,15,0,5,5
Doddanekkundi,09:45,15,1072.0666666666666,1125.0,1233.2,724.0,1251.0,17.13222222222223,16.25,14.15,15,0,5,5
Doddanekkundi,10:00,15,1078.2,1116.0,1239.2,725.0,1279.0,2.03,1.4,-1.3166666666666667,10,5,2,5
Hoodi,08:30,15,422.8,398.0,512.2,342.0,548.0,102.95333333333333,103.36666666666666,100.86666666666666,15,0,5,5
Hoodi,08:45,15,421.2,402.0,522.2,338.0,530.0,87.98,88.3,86.16666666666667,15,0,5,5
Hoodi,09:00,15,435.8,415.0,543.8,347.0,582.0,72.73666666666666,73.08333333333333,70.3,15,0,5,5
Hoodi,09:15,15,439.06666666666666,429.0,538.8,344.0,590.0,57.68222222222223,57.85,55.166666666666664,15,0,5,5
Hoodi,09:30,15,436.4,442.0,512.6,344.0,550.0,42.726666666666674,42.63333333333333,40.833333333333336,15,0,5,5
Hoodi,09:45,15,437.8,442.0,516.0,350.0,523.0,27.70333333333333,27.633333333333333,26.283333333333335,15,0,5,5
Hoodi,10:00,15,443.73333333333335,447.0,527.8,349.0,535.0,12.604444444444448,12.55,11.083333333333334,15,0,5,5
KR Puram,08:30,15,1193.8666666666666,1250.0,1397.2,789.0,1423.0,90.10222222222224,89.16666666666667,86.28333333333333,15,0,5,5
KR Puram,08:45,15,1248.8666666666666,1318.0,1486.2,797.0,1512.0,74.18555555555555,73.03333333333333,69.8,15,0,5,5
KR Puram,09:00,15,1253.8,1312.0,1468.2,807.0,1536.0,59.103333333333325,58.13333333333333,54.4,15,0,5,5
KR Puram,09:15,15,1249.0666666666666,1303.0,1462.6,806.0,1529.0,44.182222222222215,43.28333333333333,39.516666666666666,15,0,5,5
KR Puram,09:30,15,1249.8,1295.0,1466.0,814.0,1529.0,29.17,28.416666666666668,24.516666666666666,15,0,5,5
KR Puram,09:45,15,1251.5333333333333,1302.0,1461.6,819.0,1518.0,14.141111111111112,13.3,9.7,15,0,5,5
KR Puram,10:00,15,1249.7333333333333,1330.0,1452.2,834.0,1500.0,-0.828888888888889,-2.1666666666666665,-5.0,5,10,1,5
Kaggadasapura,08:30,15,1423.4,1396.0,1611.0,1200.0,1658.0,86.27666666666666,86.73333333333333,82.36666666666666,15,0,5,5
Kaggadasapura,08:45,15,1439.9333333333334,1409.0,1606.8,1209.0,1694.0,71.00111111111111,71.51666666666667,66.76666666666667,15,0,5,5
Kaggadasapura,09:00,15,1456.0,1452.0,1632.2,1217.0,1695.0,55.733333333333334,55.8,51.75,15,0,5,5
Kaggadasapura,09:15,15,1455.0,1453.0,1628.6,1225.0,1704.0,40.74999999999999,40.78333333333333,36.6,15,0,5,5
Kaggadasapura,09:30,15,1472.2666666666667,1479.0,1652.4,1232.0,1722.0,25.462222222222223,25.35,21.3,15,0,5,5
Kaggadasapura,09:45,15,1483.2666666666667,1485.0,1641.6,1257.0,1769.0,10.27888888888889,10.25,5.516666666666667,15,0,5,5
Kaggadasapura,10:00,15,1489.1333333333334,1488.0,1652.0,1271.0,1756.0,-4.818888888888889,-4.8,-9.266666666666667,0,15,0,5
Vibhutipura,08:30,15,1924.2666666666667,1940.0,2106.8,1565.0,2192.0,77.92888888888889,77.66666666666667,73.46666666666667,15,0,5,5
Vibhutipura,08:45,15,1950.0,1978.0,2148.2,1571.0,2300.0,62.50000000000001,62.03333333333333,56.666666666666664,15,0,5,5
Vibhutipura,09:00,15,1991.0666666666666,2018.0,2252.6,1572.0,2396.0,46.81555555555556,46.36666666666667,40.06666666666667,15,0,5,5
Vibhutipura,09:15,15,2027.4,2045.0,2317.2,1577.0,2521.0,31.21,30.916666666666668,22.983333333333334,15,0,5,5
Vibhutipura,09:30,15,2054.8,2068.0,2366.8,1588.0,2581.0,15.753333333333334,15.533333333333333,6.983333333333333,15,0,5,5
Vibhutipura,09:45,15,2079.5333333333333,2073.0,2435.0,1603.0,2548.0,0.341111111111111,0.45,-7.466666666666667,9,6,2,5
Vibhutipura,10:00,15,2089.266666666667,2054.0,2394.0,1635.0,2568.0,-14.82111111111111,-14.233333333333333,-22.8,0,15,0,5
