origin_cluster_id,locality,departure_time,sample_size,mean_traffic_duration_seconds,median_traffic_duration_seconds,p90_traffic_duration_seconds,min_traffic_duration_seconds,max_traffic_duration_seconds,mean_arrival_buffer_minutes,median_arrival_buffer_minutes,worst_arrival_buffer_minutes,on_time_count,off_time_count
B1,B. Narayanapura,08:30,5,517.4,530.0,536.6,470.0,537.0,101.37666666666667,101.16666666666667,101.05,5,0
B1,B. Narayanapura,08:45,5,520.2,534.0,539.8,472.0,541.0,86.33,86.1,85.98333333333333,5,0
B1,B. Narayanapura,09:00,5,542.6,546.0,574.4,479.0,586.0,70.95666666666668,70.9,70.23333333333333,5,0
B1,B. Narayanapura,09:15,5,550.6,566.0,579.6,478.0,588.0,55.82333333333334,55.56666666666667,55.2,5,0
B1,B. Narayanapura,09:30,5,554.2,568.0,590.2,478.0,597.0,40.763333333333335,40.53333333333333,40.05,5,0
B1,B. Narayanapura,09:45,5,559.2,579.0,602.8,478.0,616.0,25.68,25.35,24.733333333333334,5,0
B1,B. Narayanapura,10:00,5,576.2,589.0,623.8,490.0,643.0,10.396666666666668,10.183333333333334,9.283333333333333,5,0
B2,B. Narayanapura,08:30,5,560.6,578.0,584.4,504.0,586.0,100.65666666666667,100.36666666666666,100.23333333333333,5,0
B2,B. Narayanapura,08:45,5,562.0,581.0,585.0,504.0,585.0,85.63333333333333,85.31666666666666,85.25,5,0
B2,B. Narayanapura,09:00,5,582.0,591.0,615.6,509.0,626.0,70.3,70.15,69.56666666666666,5,0
B2,B. Narayanapura,09:15,5,591.4,609.0,626.2,507.0,637.0,55.14333333333334,54.85,54.38333333333333,5,0
B2,B. Narayanapura,09:30,5,594.2,614.0,630.8,510.0,636.0,40.09666666666667,39.766666666666666,39.4,5,0
B2,B. Narayanapura,09:45,5,599.8,624.0,645.2,512.0,658.0,25.003333333333337,24.6,24.033333333333335,5,0
B2,B. Narayanapura,10:00,5,614.0,631.0,663.0,521.0,677.0,9.766666666666666,9.483333333333333,8.716666666666667,5,0
B3,B. Narayanapura,08:30,5,795.4,811.0,815.4,742.0,817.0,96.74333333333333,96.48333333333333,96.38333333333334,5,0
B3,B. Narayanapura,08:45,5,813.2,828.0,841.0,744.0,847.0,81.44666666666667,81.2,80.88333333333334,5,0
B3,B. Narayanapura,09:00,5,826.8,833.0,863.0,756.0,879.0,66.22,66.11666666666666,65.35,5,0
B3,B. Narayanapura,09:15,5,837.4,849.0,873.0,758.0,885.0,51.04333333333334,50.85,50.25,5,0
B3,B. Narayanapura,09:30,5,836.0,848.0,882.0,752.0,890.0,36.06666666666667,35.86666666666667,35.166666666666664,5,0
B3,B. Narayanapura,09:45,5,846.4,855.0,897.0,755.0,911.0,20.89333333333333,20.75,19.816666666666666,5,0
B3,B. Narayanapura,10:00,5,861.2,869.0,917.2,767.0,936.0,5.6466666666666665,5.516666666666667,4.4,5,0
D1,Doddanekkundi,08:30,5,956.6,998.0,1019.8,818.0,1027.0,94.05666666666667,93.36666666666666,92.88333333333334,5,0
D1,Doddanekkundi,08:45,5,980.4,1022.0,1049.8,827.0,1057.0,78.66,77.96666666666667,77.38333333333334,5,0
D1,Doddanekkundi,09:00,5,997.8,1046.0,1080.4,823.0,1098.0,63.36999999999999,62.56666666666667,61.7,5,0
D1,Doddanekkundi,09:15,5,1032.4,1088.0,1135.6,828.0,1150.0,47.79333333333334,46.86666666666667,45.833333333333336,5,0
D1,Doddanekkundi,09:30,5,1047.0,1125.0,1151.8,837.0,1167.0,32.55,31.25,30.55,5,0
D1,Doddanekkundi,09:45,5,1059.2,1125.0,1185.6,842.0,1210.0,17.346666666666664,16.25,14.833333333333334,5,0
D1,Doddanekkundi,10:00,5,1058.0,1116.0,1190.0,843.0,1228.0,2.3666666666666667,1.4,-0.4666666666666667,4,1
D2,Doddanekkundi,08:30,5,1070.6,1097.0,1128.6,936.0,1149.0,92.15666666666668,91.71666666666667,90.85,5,0
D2,Doddanekkundi,08:45,5,1107.8,1143.0,1175.4,945.0,1189.0,76.53666666666666,75.95,75.18333333333334,5,0
D2,Doddanekkundi,09:00,5,1119.0,1160.0,1206.4,942.0,1232.0,61.35,60.666666666666664,59.46666666666667,5,0
D2,Doddanekkundi,09:15,5,1131.2,1175.0,1220.8,941.0,1250.0,46.14666666666667,45.416666666666664,44.166666666666664,5,0
D2,Doddanekkundi,09:30,5,1143.6,1181.0,1241.2,940.0,1266.0,30.940000000000005,30.316666666666666,28.9,5,0
D2,Doddanekkundi,09:45,5,1153.6,1189.0,1248.2,944.0,1251.0,15.773333333333335,15.183333333333334,14.15,5,0
D2,Doddanekkundi,10:00,5,1168.2,1217.0,1264.2,955.0,1279.0,0.5299999999999999,-0.2833333333333333,-1.3166666666666667,2,3
D3,Doddanekkundi,08:30,5,898.2,950.0,995.4,695.0,1009.0,95.03,94.16666666666667,93.18333333333334,5,0
D3,Doddanekkundi,08:45,5,921.4,982.0,1033.8,692.0,1049.0,79.64333333333333,78.63333333333334,77.51666666666667,5,0
D3,Doddanekkundi,09:00,5,949.0,1003.0,1077.0,702.0,1099.0,64.18333333333332,63.28333333333333,61.68333333333333,5,0
D3,Doddanekkundi,09:15,5,979.4,1041.0,1132.8,703.0,1158.0,48.67666666666667,47.65,45.7,5,0
D3,Doddanekkundi,09:30,5,985.8,1081.0,1133.6,705.0,1164.0,33.57,31.983333333333334,30.6,5,0
D3,Doddanekkundi,09:45,5,1003.4,1081.0,1169.8,724.0,1217.0,18.276666666666667,16.983333333333334,14.716666666666667,5,0
D3,Doddanekkundi,10:00,5,1008.4,1082.0,1179.0,725.0,1235.0,3.193333333333334,1.9666666666666666,-0.5833333333333334,4,1
H1,Hoodi,08:30,5,379.4,382.0,388.8,360.0,390.0,103.67666666666666,103.63333333333334,103.5,5,0
H1,Hoodi,08:45,5,373.8,379.0,381.6,355.0,382.0,88.77000000000001,88.68333333333334,88.63333333333334,5,0
H1,Hoodi,09:00,5,381.8,387.0,392.2,357.0,395.0,73.63666666666667,73.55,73.41666666666667,5,0
H1,Hoodi,09:15,5,382.6,388.0,391.8,356.0,393.0,58.623333333333335,58.53333333333333,58.45,5,0
H1,Hoodi,09:30,5,382.2,388.0,390.2,359.0,391.0,43.63,43.53333333333333,43.483333333333334,5,0
H1,Hoodi,09:45,5,380.2,382.0,390.2,359.0,393.0,28.663333333333334,28.633333333333333,28.45,5,0
H1,Hoodi,10:00,5,386.4,390.0,395.6,366.0,396.0,13.559999999999999,13.5,13.4,5,0
H2,Hoodi,08:30,5,499.6,511.0,534.0,433.0,548.0,101.67333333333333,101.48333333333333,100.86666666666666,5,0
H2,Hoodi,08:45,5,501.8,521.0,527.2,428.0,530.0,86.63666666666667,86.31666666666666,86.16666666666667,5,0
